"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5198","Verify Employee List","Smart People HRM Test Suite","Thu Feb 20 09:18:58 UTC 2025","passed","Thu Feb 20 09:19:04 UTC 2025","testrunner.LoginTestRunner","Login Test","testrunner.LoginTestRunner","getEmployeeTotal"
"","10544","User can login with valid credential","Default Suite","Wed Feb 19 04:17:26 UTC 2025","passed","Wed Feb 19 04:17:37 UTC 2025","testrunner.LoginTestRunner","sp-automation","testrunner.LoginTestRunner","doLogin"
"","2321","Verify Dashboard appears after login","Smart People HRM Test Suite","Thu Feb 20 09:18:56 UTC 2025","passed","Thu Feb 20 09:18:58 UTC 2025","testrunner.LoginTestRunner","Login Test","testrunner.LoginTestRunner","verifyDashboard"
"","5153","Verify Employee List","Default Suite","Thu Feb 20 08:45:23 UTC 2025","passed","Thu Feb 20 08:45:28 UTC 2025","testrunner.OfficialLetterTestRunner","sp-automation","testrunner.OfficialLetterTestRunner","getEmployeeTotal"
